index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Type of interaction,Type of effect description,Ecological Level of evidence,Outcome of interaction,Study date,study,publication
"Invasive fruits, novel foods, and choice: na investigation of european starling and american robin frugivory/Contribution 1",Experimental,North America,Invasional meltdown,Supported,Lab,Terrestrial,Plants;Birds,4,Testing the invasional meltdown hypothesis in invasion biology,A = B,one non native prefers other non native as food source,Individual,Resource,2007,"Invasive fruits, novel foods, and choice: na investigation of european starling and american robin frugivory/Contribution 1","Invasive fruits, novel foods, and choice: na investigation of european starling and american robin frugivory"
Facilitation and interference underlying the association between the woody invaders Pyracantha angustifolia and Ligustrum lucidum/Contribution 1,Experimental,South America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,One plant negatively affected another growth but enhanced its survival,Individual,"Survival, Growth and or Reproduction",2007,Facilitation and interference underlying the association between the woody invaders Pyracantha angustifolia and Ligustrum lucidum/Contribution 1,Facilitation and interference underlying the association between the woody invaders Pyracantha angustifolia and Ligustrum lucidum
"Predicting habitat use and trophic interactions of Eurasian ruffe, round gobies, and zebra mussels in nearshore areas of Great Lakes/Contribution 1",Experimental,North America,Invasional meltdown,Questioned,Lab,Freshwater,Fishes;Molluscs,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,competition for habitat and food,Individual,"Survival, Growth and or Reproduction",2007,"Predicting habitat use and trophic interactions of Eurasian ruffe, round gobies, and zebra mussels in nearshore areas of Great Lakes/Contribution 1","Predicting habitat use and trophic interactions of Eurasian ruffe, round gobies, and zebra mussels in nearshore areas of Great Lakes"
Invasive alien plants infiltrate bird-mediated shrub nucleation processes in arid savanna/Contribution 3,Observational,Africa,Invasional meltdown,Questioned,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,no difference in exotic richness under other exotic or native trees canopy,Community,Richness,2007,Invasive alien plants infiltrate bird-mediated shrub nucleation processes in arid savanna/Contribution 3,Invasive alien plants infiltrate bird-mediated shrub nucleation processes in arid savanna
Collapse of ant-scale mutualism in a rainforest on Christmas Island/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Insects,4,Testing the invasional meltdown hypothesis in invasion biology,A = B,exclusion of ant resulted in the colapse of a scale insect,Population,Abundance and or Density,2007,Collapse of ant-scale mutualism in a rainforest on Christmas Island/Contribution 1,Collapse of ant-scale mutualism in a rainforest on Christmas Island
Competition between two invasive Hydrocharitaceae (Hydrilla verticillata (L.f.) (Royle) and Eigeria densa (Planch)) as influenced by sediment fertility and season/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Lab,Freshwater,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competition experiment in response to season and sediment fertility,Individual/Population,"Survival, Growth and or Reproduction/ Abundance and or Density",2007,Competition between two invasive Hydrocharitaceae (Hydrilla verticillata (L.f.) (Royle) and Eigeria densa (Planch)) as influenced by sediment fertility and season/Contribution 1,Competition between two invasive Hydrocharitaceae (Hydrilla verticillata (L.f.) (Royle) and Eigeria densa (Planch)) as influenced by sediment fertility and season
Invasion of the southern Gulf of St. Lawrence by the clubbed tunicate (Styela clava Herdman): Potential mechanisms for invasions of Prince Edward Island estuaries/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Field,Marine,Crustaceans;Tunicate,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native negatively affects another non native's predator,Population,Abundance and or Density,2007,Invasion of the southern Gulf of St. Lawrence by the clubbed tunicate (Styela clava Herdman): Potential mechanisms for invasions of Prince Edward Island estuaries/Contribution 1,Invasion of the southern Gulf of St. Lawrence by the clubbed tunicate (Styela clava Herdman): Potential mechanisms for invasions of Prince Edward Island estuaries
Strong below-ground competition shapes tree regeneration in invasive Cinnamomum verum forests/Contribution 1,Experimental,Africa,Invasional meltdown,Questioned,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native growth was lower when competing for resources with other non native,Individual,"Survival, Growth and or Reproduction",2007,Strong below-ground competition shapes tree regeneration in invasive Cinnamomum verum forests/Contribution 1,Strong below-ground competition shapes tree regeneration in invasive Cinnamomum verum forests
Variation in herbivore-mediated indirect effects of an invasive plant on a native plant/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,increased impact on native species due to presence of other non native,Population,Impact on native species,2007,Variation in herbivore-mediated indirect effects of an invasive plant on a native plant/Contribution 1,Variation in herbivore-mediated indirect effects of an invasive plant on a native plant
"Interactions between two co-dominant, invasive plants in the understory of a temperate deciduous forest/Contribution 1",Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competition for light,Individual/Population,"Survival, Growth and or Reproduction/ Abundance and or Density",2006,"Interactions between two co-dominant, invasive plants in the understory of a temperate deciduous forest/Contribution 1","Interactions between two co-dominant, invasive plants in the understory of a temperate deciduous forest"
Avian seed dispersal of an invasive shrub/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Birds,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,non native birds as important dispersers of non native seed,Individual,Dispersal,2006,Avian seed dispersal of an invasive shrub/Contribution 1,Avian seed dispersal of an invasive shrub
A null model of temporal trends in biological invasion records/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,x,,100,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,null model to identify the expected trend in invasion records over time,Community,Implicit measure,2006,A null model of temporal trends in biological invasion records/Contribution 1,A null model of temporal trends in biological invasion records
"Facilitations between the introduced nitrogen-fixing tree, Robinia pseudoacacia, and nonnative plant species in the glacial outwash upland ecosystem of Cape Cod, MA/Contribution 1",Experimental,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,12,Testing the invasional meltdown hypothesis in invasion biology,A - B,higher richness and abundance associated to non native species,Population/Community,Abundance and or Density/Richness,2006,"Facilitations between the introduced nitrogen-fixing tree, Robinia pseudoacacia, and nonnative plant species in the glacial outwash upland ecosystem of Cape Cod, MA/Contribution 1","Facilitations between the introduced nitrogen-fixing tree, Robinia pseudoacacia, and nonnative plant species in the glacial outwash upland ecosystem of Cape Cod, MA"
Consumption rates and prey preference of the invasive gastropod Rapana venosa in the Northern Adriatic Sea/Contribution 1,Experimental,Europe,Invasional meltdown,Undecided,Enclosure,Marine,Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,predation,Indivdual,Resource,2006,Consumption rates and prey preference of the invasive gastropod Rapana venosa in the Northern Adriatic Sea/Contribution 1,Consumption rates and prey preference of the invasive gastropod Rapana venosa in the Northern Adriatic Sea
Positive interactions between invasive plants: The influence of Pyracantha angustifolia on the recruitment of native and exotic woody species/Contribution 1,Experimental,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,higher richness of exotic under other exotic and higher density of a exotic unde other exotic,Population/Community,Abundance and or Density/Richness,2006,Positive interactions between invasive plants: The influence of Pyracantha angustifolia on the recruitment of native and exotic woody species/Contribution 1,Positive interactions between invasive plants: The influence of Pyracantha angustifolia on the recruitment of native and exotic woody species
Interactions of an introduced shrub and introduced earthworms in an Illinois urban woodland: Impact on leaf litter decomposition/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Earthworms,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,providing resource increases other density,Population,Abundance and or Density,2006,Interactions of an introduced shrub and introduced earthworms in an Illinois urban woodland: Impact on leaf litter decomposition/Contribution 1,Interactions of an introduced shrub and introduced earthworms in an Illinois urban woodland: Impact on leaf litter decomposition
"Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina/Contribution 1",Observational,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Insects,17,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native species interact more frequently with other non natives,Individual,Implicit measure,2006,"Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina/Contribution 1","Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina"
Functional diversity of mammalian predators and extinction in island birds/Contribution 1,Observational,,Invasional meltdown,Supported,Field,Terrestrial,,67,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,not specified,Population,Impact on native species,2005,Functional diversity of mammalian predators and extinction in island birds/Contribution 1,Functional diversity of mammalian predators and extinction in island birds
Invasion by a N2-fixing tree alters function and structure in wet lowland foress of Hawaii/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native provides N and P used by another that increases density/ Comunity is formed by mainly other non natives in the presence of the first,Population/Community,Abundance and or Density/Composition,2005,Invasion by a N2-fixing tree alters function and structure in wet lowland foress of Hawaii/Contribution 1,Invasion by a N2-fixing tree alters function and structure in wet lowland foress of Hawaii
Effects of Acer platanoides invasion on understory plant communities and tree regeneration in the northern Rocky Mountains/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native supressed several other non natives and natives,Population,Abundance and or Density,2005,Effects of Acer platanoides invasion on understory plant communities and tree regeneration in the northern Rocky Mountains/Contribution 1,Effects of Acer platanoides invasion on understory plant communities and tree regeneration in the northern Rocky Mountains
Broom and honeybees in Australia: An alien liaison/Contribution 1,Experimental & Observational,Oceania,Invasional meltdown,Supported,Lab & Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,the only polinator for na invasive pant is the invasive honey bee which 84% of floral visit resulting in fruit set,Indivdual,"Survival, Growth and or Reproduction",2005,Broom and honeybees in Australia: An alien liaison/Contribution 1,Broom and honeybees in Australia: An alien liaison
Recent biological invasion may hasten invasional meltdown by accelerating historical introductions/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Lab & Field,Marine,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,recent introduced species promoted rapid increase of another bivalve that was rare before,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2005,Recent biological invasion may hasten invasional meltdown by accelerating historical introductions/Contribution 1,Recent biological invasion may hasten invasional meltdown by accelerating historical introductions
Positive effects of a dominant invader on introduced and native mudflat species/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Field,Marine,PlantsMolluscs;Anemone,5,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,two non native abundance and coverincrease in the presence of other non native,Population,Abundance and or Density,2005,Positive effects of a dominant invader on introduced and native mudflat species/Contribution 1,Positive effects of a dominant invader on introduced and native mudflat species
Invasional meltdown potential: Facilitation between introduced plants and mammals on French Mediterranean islands/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Food source/Enhanced seed germination/ Seed dispersal,Individual,"Resource/Survival, Growth and or Reproduction/ Dispersal",2005,Invasional meltdown potential: Facilitation between introduced plants and mammals on French Mediterranean islands/Contribution 1,Invasional meltdown potential: Facilitation between introduced plants and mammals on French Mediterranean islands
Positive interactions between nonindigenous species facilitate transport by human vectors/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field,Marine,Bryozoan,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native serving as a habitat during transport,Individual,Abundance and or Density/Diversity,2004,Positive interactions between nonindigenous species facilitate transport by human vectors/Contribution 1,Positive interactions between nonindigenous species facilitate transport by human vectors
Relationship betwen alien plants and na alien bird species on Reunion island/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants;Birds,5,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"food resource, germination",Individual/Population,"Resource/ Survival, Growth and or Reproduction/ Abundance and or Density/ Dispersal of individuals",2004,Relationship betwen alien plants and na alien bird species on Reunion island/Contribution 1,Relationship betwen alien plants and na alien bird species on Reunion island
"Exotic species replacement: shifting dominance of dreissenid mussels in the Soulanges Canal, upper St. Lawrence River, Canada/Contribution 1",Observational,North America,Invasional meltdown,Questioned,Field,Freshwater,Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Species replacement trough competition,Population,Abundance and or Density,2004,"Exotic species replacement: shifting dominance of dreissenid mussels in the Soulanges Canal, upper St. Lawrence River, Canada/Contribution 1","Exotic species replacement: shifting dominance of dreissenid mussels in the Soulanges Canal, upper St. Lawrence River, Canada"
The portability of foodweb dynamics: reassembling na Australian eucalypt-psyllid-bird association within California/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,effect of interaction between 2 non natives on a bird commuity ,Population/Community,Impact on population and community,2004,The portability of foodweb dynamics: reassembling na Australian eucalypt-psyllid-bird association within California/Contribution 1,The portability of foodweb dynamics: reassembling na Australian eucalypt-psyllid-bird association within California
Exotic weed invasion increases the susceptibility of native plants to attack by a biocontrol herbivore/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,increased impact on native species due to presence of other non native,Population,Impact on native species,2004,Exotic weed invasion increases the susceptibility of native plants to attack by a biocontrol herbivore/Contribution 1,Exotic weed invasion increases the susceptibility of native plants to attack by a biocontrol herbivore
Interaction and impacts of two introduced species on a soft-sediment marine assemblage in SE Tasmania/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Enclosure,Marine,Crustaceans;Echinoderm,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,two non natives have a larger impact on native preys than when alone,Population,Impact on native species,2004,Interaction and impacts of two introduced species on a soft-sediment marine assemblage in SE Tasmania/Contribution 1,Interaction and impacts of two introduced species on a soft-sediment marine assemblage in SE Tasmania
Na emergent multiple predator effect may enhance biotic resistance in a stream fish assemblage/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Lab,Freshwater,Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native ngatively affects survival of another ,Individual,"Survival, Growth and or Reproduction",2004,Na emergent multiple predator effect may enhance biotic resistance in a stream fish assemblage/Contribution 1,Na emergent multiple predator effect may enhance biotic resistance in a stream fish assemblage
Apparent facilitation of an invasive mealybug by na invasive ant/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,on non native provides resource and the other provides protection,Population,Abundance and or Density,2003,Apparent facilitation of an invasive mealybug by na invasive ant/Contribution 1,Apparent facilitation of an invasive mealybug by na invasive ant
Invasional 'meltdown' on an oceanic island/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Insects,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native affects (facilitation and mutualisms) another density and result in increased impact,Population/Community/Ecosystem,Abundance and or Density/Richness/Impact on population community and ecosystem,2003,Invasional 'meltdown' on an oceanic island/Contribution 1,Invasional 'meltdown' on an oceanic island
Ecological traits of the amphipod invader Dikerogammarus villosus on a mesohabitat scale/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Freshwater,Crustaceans;Molluscs,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,abundance of two non native species higlhy correlated,Population,Abundance and or Density,2003,Ecological traits of the amphipod invader Dikerogammarus villosus on a mesohabitat scale/Contribution 1,Ecological traits of the amphipod invader Dikerogammarus villosus on a mesohabitat scale
Indirect facilitation of an anuran invasion by non-native fishes/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Enclosure/Field,Freshwater,Fishes;Amphibians,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,"one non native affect a native predator, releasing another non native used as prey by the native",Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2003,Indirect facilitation of an anuran invasion by non-native fishes/Contribution 1,Indirect facilitation of an anuran invasion by non-native fishes
Seed and seedling demography of invasive and native trees of subtropical Pacific islands/Contribution 1,Experimental & Observational,Asia,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,lower predation by other non native than native competitor,Individual,Resource,2003,Seed and seedling demography of invasive and native trees of subtropical Pacific islands/Contribution 1,Seed and seedling demography of invasive and native trees of subtropical Pacific islands
Community-wide effects on nonindigenous species on temperate rocky reefs/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Lab & Field,Marine,Algae;Bryozoan,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native affects a native survival and benefits another non native,Individual/Population/Community,"Impact on individual/ Composition/ Abundance, and or Density",2002,Community-wide effects on nonindigenous species on temperate rocky reefs/Contribution 1,Community-wide effects on nonindigenous species on temperate rocky reefs
Widespread association of the invasive ant Solenopsis invicta with an invasive mealybug/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native as the most important food source,Individual,Resource,2002,Widespread association of the invasive ant Solenopsis invicta with an invasive mealybug/Contribution 1,Widespread association of the invasive ant Solenopsis invicta with an invasive mealybug
Invasion of pollination networks on oceanic islands: importance of invader complexes and endemic super generalists/Contribution 1,Observational,Europe;Africa,Invasional meltdown,Questioned,Field,Terrestrial,Plants;Insects,16,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native species interacted less than expected by chance,Individual,Implicit measure,2002,Invasion of pollination networks on oceanic islands: importance of invader complexes and endemic super generalists/Contribution 1,Invasion of pollination networks on oceanic islands: importance of invader complexes and endemic super generalists
Interactions among aliens: apparent replacement of one exotic species by another/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Questioned,Lab & Enclosure & Field,Marine,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,one non native replacing another and affecting its survival,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2002,Interactions among aliens: apparent replacement of one exotic species by another/Contribution 1,Interactions among aliens: apparent replacement of one exotic species by another
Promotion of seed set in yellow star-thistle by honey bees: evidence of an invasive mutualism/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native species as important polinator of invasive plant,Individual,"Survival, Growth and or Reproduction",2001,Promotion of seed set in yellow star-thistle by honey bees: evidence of an invasive mutualism/Contribution 1,Promotion of seed set in yellow star-thistle by honey bees: evidence of an invasive mutualism
